"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-1.955958331E-3,3.222899752E-1,4.320367312E-1,-2.542977476E-1,5.959814676E-1
8.048041665E-3,2.914421485E-1,5.811734748E-1,-4.410928988E-1,7.856615551E-1
1.805304167E-2,2.590480073E-1,6.101768339E-1,-4.329787177E-1,7.917652485E-1
2.805704167E-2,2.133747298E-1,5.835807735E-1,-3.960517967E-1,7.368529841E-1
3.806104167E-2,1.782677547E-1,5.311400199E-1,-2.846570760E-1,6.284256233E-1
4.806504167E-2,1.785098294E-1,5.304909790E-1,-2.842167807E-1,6.277464587E-1
5.806904167E-2,6.383198391E-2,3.768998265E-1,-1.390204757E-1,4.067612249E-1
6.807304167E-2,4.107555706E-2,3.782674903E-1,-1.055200231E-1,3.948518341E-1
7.807704167E-2,7.119387053E-3,3.933562303E-1,-7.477010071E-2,4.004627043E-1
8.808104167E-2,1.660745376E-2,4.082765704E-1,-3.090545833E-2,4.097812988E-1
9.808504167E-2,5.605083366E-2,3.986362660E-1,4.276185751E-2,4.048223622E-1
1.080890417E-1,1.150831534E-1,3.935912883E-1,5.047316551E-2,4.131655539E-1
1.180930417E-1,1.409612306E-1,3.841825336E-1,-3.759057999E-2,4.109493148E-1
1.280970417E-1,1.383787438E-1,3.849742466E-1,-1.415774632E-1,4.328949357E-1
1.381010417E-1,1.048242044E-1,3.679296130E-1,-2.603209645E-1,4.627389312E-1
1.481050417E-1,8.802252263E-3,3.234252852E-1,-3.961564618E-1,5.114893323E-1
1.581090417E-1,-1.378371272E-1,3.168728954E-1,-4.225852919E-1,5.458807877E-1
1.681130417E-1,-3.662586615E-1,2.934694147E-1,-3.586424804E-1,5.906726109E-1
1.781170417E-1,-6.387849943E-1,2.480540907E-1,-2.080415940E-1,7.161413308E-1
1.881210417E-1,-9.329978824E-1,1.518323100E-1,-1.107094270E-1,9.517324604E-1
1.981250417E-1,-1.175860596E0,6.466143429E-2,-2.811633646E-2,1.177972738E0
2.081290417E-1,-1.364708558E0,4.370852172E-2,2.779181600E-2,1.365691132E0
2.181330417E-1,-1.486103480E0,6.706171632E-2,-2.970385551E-3,1.487618785E0
2.281370417E-1,-1.495931187E0,1.331931406E-1,-8.906186521E-2,1.504487469E0
2.381410417E-1,-1.427878953E0,1.971558326E-1,-2.867457014E-1,1.469670651E0
2.481450417E-1,-1.298720098E0,2.267076606E-1,-5.975263828E-1,1.447448802E0
2.581490417E-1,-1.168308040E0,3.008614647E-1,-8.858128256E-1,1.496704934E0
2.681530417E-1,-9.250802408E-1,4.194997162E-1,-1.131587672E0,1.520606498E0
2.781580417E-1,-6.720302890E-1,5.534138185E-1,-1.281556474E0,1.549283241E0
2.881620417E-1,-4.741471358E-1,6.314150906E-1,-1.390018816E0,1.598640933E0
2.981660417E-1,-4.878348099E-1,6.377546418E-1,-1.394068013E0,1.608769533E0
3.081700417E-1,-4.132451688E-1,6.039922339E-1,-1.455591831E0,1.629210167E0
3.181740417E-1,-5.122460581E-1,5.690405023E-1,-1.309299173E0,1.516729192E0
3.281780417E-1,-4.991788468E-1,5.898881650E-1,-1.323637131E0,1.532697890E0
3.381820417E-1,-8.309846538E-1,3.837071550E-1,-7.264896476E-1,1.168569161E0
3.481860417E-1,-8.166045964E-1,4.137051255E-1,-7.467017180E-1,1.181337570E0
